state,statefip,county,countyfip,tract,18under1990,18under2000,18under2010,18under2020,18over1990,18over2000,18over2010,18over2020,housing1990,housing2000,housing2010,housing2020,poptract1990,poptract2000,poptract2010,poptract2020,hl1990,hl2000,hl2010,hl2020,white1990,white2000,white2010,white2020,black1990,black2000,black2010,black2020,aian1990,aian2000,aian2010,aian2020,asian1990,asian2000,asian2010,asian2020,nhpi1990,nhpi2000,nhpi2010,nhpi2020,gqi1990,gqi2000,gqi2010,gqi2020,gqni1990,gqni2000,gqni2010,gqni2020
California,6,Mariposa County,43,102,525.06,585.06,524,454.86,1427.37,1822.24,2195,2161.25,907.56,1157.45,1356,1308.25,1952.43,2407.3,2719,2616.11,100.09,143.52,248,355.07,1819.92,2175,2404,2095.24,0.87,1.8,23,20,97.41,83.79,79,63.08,9.75,13.99,38,30.04,2,2,1,0,0,0,0,0,0,0,0,0
California,6,Mono County,51,102,687,637,565,478,1882,2088,1937,2064,1645,1634,1792,1761,2569,2725,2502,2542,252,365,536,631,2147,2227,2053,1815,34,32,13,31,248,187,146,123,25,36,18,20,3,1,1,1,41,35,16,19,72,105,42,128
California,6,Monterey County,53,102,1373.82,2466,2830,2632,2979.88,4924,6224,7165,1279.73,1859,2316,2363,4353.7,7390,9054,9797,1690.77,3998,5956,6945,2391.85,2667,3584,1901,163.99,193,206,141,33.26,79,67,282,942.48,1418,1708,1742,37.55,22,39,30,0,0,16,0,0,10,2,6
California,6,Nevada County,57,102,1268.62,1354,1297,1352,4251.29,4945,5380,5625,2248.64,2600,2932,2969,5519.91,6299,6677,6977,208.61,263,466,561,5392.09,6041,6222,5954,17,19,18,24,27.98,36,53,86,39.91,47,73,92,3,6,9,19,0,0,21,1,0,0,0,0
California,6,Santa Barbara County,83,102,805,1175,1032,1005,3751,4140,4213,4381,2146,2289,2326,2370,4556,5315,5245,5386,556,1028,1301,1709,4164,4278,4059,3280,56,73,96,73,23,34,43,61,131,275,348,323,2,3,14,5,173,163,118,130,19,0,8,4
California,6,Stanislaus County,99,102,797.95,937.85,933,853.63,2036.73,2496.6,2936,3061.72,1007.81,1225.8,1461,1476.1,2834.68,3434.45,3869,3915.36,306.95,452.9,714,894.2,2582.74,3002.59,3356,2819.08,17,9,4,9.55,22,42,50,29.14,18,50,65,132.53,1,3,5,7.33,5,0,0,0,7,10,0,0
California,6,Trinity County,105,102,1011.59,931.21,971,877,2936.85,3333.06,3587,3528,2084.97,2310.49,2471,2317,3948.44,4264.27,4558,4405,75.06,204.49,340,323,3782.42,3892.49,4016,3596,10,41.94,37,44,103.01,111.74,162,128,34,32.29,50,65,4,4.94,3,7,67,193,168,119,4,17,94,70
California,6,Butte County,7,103,167.52,436,1174,1594,418.69,846,2728,4477.98,219.12,435,1388,2285,586.2,1282,3902,6071.98,26.36,230,643,1018.38,563.03,1043,3255,4496.61,3.89,7,49,61,8.42,5,39,72.98,1.03,33,141,363.24,0,1,9,9,4.81,0,0,11,0,8,0,9
California,6,Madera County,39,103,964,1053,849,796,3126,4038,4184,3854,1823,2492,2722,2420,4090,5091,5033,4650,164,404,389,489,3910,4554,4597,3826,8,6,16,12,89,103,109,108,20,27,58,65,4,23,0,4,60,59,57,62,4,76,6,12
California,6,Monterey County,53,103,280.18,1152,1180,1133,530.14,2326.01,2714,3221,238.27,1455,1421,1482,810.32,3478.01,3894,4354,324.25,1836,2413,3138,494.17,1474.01,1600,1197,48.01,141,124,73,12.74,34,31,110,119.52,543,641,553,9.45,26,21,11,0,0,0,0,0,0,0,0
